name,address,yearBuilt,seats,pandemicShow,reopeningDate,lat,long
Gershwin Theatre,"222 W. 51st St., New York, NY",1972,1933,Wicked,2021-09-14,40.76251,-73.98494
Richard Rodgers Theatre,"226 W. 46th St., New York, NY",1925,1400,Hamilton,2021-09-14,40.75907,-73.986655
Minskoff Theatre,"200 W. 45th St., New York, NY",1973,1710,The Lion King,2021-09-14,40.75798,-73.98586
Walter Kerr Theatre,"219 W. 48th St., New York, NY",1921,945,Hadestown,2021-09-02,40.760645,-73.985665
Winter Garden Theatre,"1634 Broadway (At W. 50th St.), New York, NY",1911,1526,Beetlejuice,N/A,40.759290,-73.979050
Lyric Theatre,"213 W. 42nd St., New York, NY",1998,1622,Harry Potter and the Cursed Child,2021-11-12,40.75651,-73.98768
Al Hirschfeld Theatre,"302 W. 45th St., New York, NY",1924,1424,Moulin Rouge! The Musical ,2021-09-24,40.759345,-73.989245
Ambassador Theatre,"219 W. 49th St., New York, NY",1921,1125,Chicago,2021-09-14,40.76114,-73.98506
Shubert Theatre,"225 W. 44th St., New York, NY",1913,1460,To Kill a Mockingbird,2021-10-05,40.75802,-73.98736
Majestic Theatre,"247 W. 44th St., New York, NY",1927,1645,The Phantom of the Opera ,2021-10-22,40.75826,-73.98796
August Wilson Theatre,"245 W. 52nd St., New York, NY",1925,1228,Mean Girls,N/A,40.76327,-73.98429
Booth Theatre,"222 W. 45th St., New York, NY",1913,766,Who's Afraid of Virginia Woolf?,N/A,40.75845,-73.987
Broadhurst Theatre,"235 W. 44th St., New York, NY",1917,1186,Jagged Little Pill,2021-10-21,40.758195,-73.98763
Broadway Theatre,"1681 Broadway (W. 53rd St.), New York, NY",1924,1761,West Side Story ,N/A,40.761730, -73.978330
Eugene O'Neill Theatre,"230 W. 49th St., New York, NY",1925,1066,The Book of Mormon,2021-11-05,40.76112,-73.985695
Gerald Schoenfeld Theatre,"236 W. 45th St., New York, NY",1917,1079,Come From Away,2021-09-21,40.75865,-73.98745
Imperial Theatre,"249 W. 45th St., New York, NY",1923,1443,Ain't Too Proud ,2021-10-16,40.75901,-73.987275
Lunt-Fontanne Theatre,"205 W. 46th St., New York, NY",1910,1519,Tina,2021-10-08,40.759125,-73.985945
Music Box Theatre,"239 W. 45th St., New York, NY",1921,1009,Dear Evan Hansen,2021-12-11,40.758835,-73.98718
New Amsterdam Theatre,"214 W. 42nd St., New York, NY",1903,1747,Aladdin ,2021-09-28,40.756055,-73.98788
St. James Theatre,"246 W. 44th St., New York, NY",1927,1709,Frozen,N/A,40.758055,-73.98812