theater,count
Gershwin Theatre,1933
Broadway Theatre,1761
New Amsterdam Theatre,1747
Palace Theatre,1743
Minskoff Theatre,1710
St. James Theatre,1709
Majestic Theatre,1645
Lyric Theatre,1622
Marquis Theatre,1612
Winter Garden Theatre,1526
Lunt-Fontanne Theatre,1519
Neil Simon Theatre,1467
Shubert Theatre,1460
Imperial Theatre,1443
Al Hirschfeld Theatre,1424
Richard Rodgers Theatre,1400
Nederlander Theatre,1235
August Wilson Theatre,1228
Broadhurst Theatre,1186
Ambassador Theatre,1125
Ethel Barrymore Theatre,1096
Lena Horne Theatre,1094
Longacre Theatre,1091
James Earl Jones Theatre,1084
Vivian Beaumont Theatre,1080
Gerald Schoenfeld Theatre,1079
Bernard B. Jacobs Theatre,1078
Eugene O'Neill Theatre,1066
Stephen Sondheim Theatre,1055
Belasco Theatre,1018
Music Box Theatre,1009
Studio 54,1006
Hudson Theatre,970
Walter Kerr Theatre,945
Lyceum Theatre,922
Circle in the Square Theatre,840
John Golden Theatre,805
Booth Theatre,766
American Airlines Theatre,740
Samuel J. Friedman Theatre,650
Hayes Theater,597